eval_df_path,accuracy_per_class_path,model_path,best_epoch_F1_score_macro,train_data_type
/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_trituenhantaoio_NLP_Epoch10_train_data_provided_by_Yunhong He_eval_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_trituenhantaoio_train_data_provided_by_Yunhong He_NLP_Epoch10_accuracy_per_class_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_trituenhantaoio_train_data_provided_by_Yunhong He_NLP_Epoch10.model,8,Yunhong Keyword + oversample
/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_NlpHUST_NLP_Epoch10_train_data_provided_by_Yunhong He_eval_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_NlpHUST_train_data_provided_by_Yunhong He_NLP_Epoch10_accuracy_per_class_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_NlpHUST_train_data_provided_by_Yunhong He_NLP_Epoch10.model,10,Yunhong Keyword + oversample
/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_bert-base-uncased_NLP_Epoch10_train_data_provided_by_Yunhong He_eval_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_bert-base-uncased_train_data_provided_by_Yunhong He_NLP_Epoch10_accuracy_per_class_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_bert-base-uncased_train_data_provided_by_Yunhong He_NLP_Epoch10.model,5,Yunhong Keyword + oversample
/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_trituenhantaoio_NLP_Epoch10_train_data_provided_by_Yunhong He_eval_before_oversample_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_trituenhantaoio_train_data_provided_by_Yunhong He_NLP_Epoch10_accuracy_per_class_before_oversample_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_trituenhantaoio_train_data_provided_by_Yunhong He_NLP_Epoch10_before_oversample.model,7,Yunhong Keyword Search
/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_trituenhantaoio_NLP_Epoch10_train_data_provided_by_Suwasit_eval_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_trituenhantaoio_train_data_provided_by_Suwasit_NLP_Epoch10_accuracy_per_class_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_trituenhantaoio_train_data_provided_by_Suwasit_NLP_Epoch10.model,10,Reviews-Suwasit Viet Team
/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_NlpHUST_NLP_Epoch10_train_data_provided_by_Suwasit_eval_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_NlpHUST_train_data_provided_by_Suwasit_NLP_Epoch10_accuracy_per_class_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_NlpHUST_train_data_provided_by_Suwasit_NLP_Epoch10.model,9,Reviews-Suwasit Viet Team
/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_bert-base-uncased_NLP_Epoch10_train_data_provided_by_Suwasit_eval_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_bert-base-uncased_train_data_provided_by_Suwasit_NLP_Epoch10_accuracy_per_class_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_bert-base-uncased_train_data_provided_by_Suwasit_NLP_Epoch10.model,5,Reviews-Suwasit Viet Team
/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_NlpHUST_NLP_Epoch10_train_data_provided_by_Suwasit_eval_VnEmoLex_validated_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_NlpHUST_train_data_provided_by_Suwasit_NLP_Epoch10_accuracy_per_class_VnEmoLex_validated_df.csv,/content/drive/MyDrive/Realtime Dreamer/sentiment_analysis_NlpHUST_train_data_provided_by_Suwasit_NLP_Epoch10_VnEmoLex_validated.model,7,VnEmoLex Validate-Viet Team
